url,error
http://ufcstats.com/fight-details/c9f33133605acf22,'NoneType' object is not iterable
http://ufcstats.com/fight-details/97876bc571bd2b19,'NoneType' object is not iterable
http://ufcstats.com/fight-details/fff219fac94884d8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1f6cab1528ce6308,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/ce1ff42f030f424a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/c73a91dcff319e6d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a75304045e10e061,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/9d5dce909eb0ab77,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d0f2fb4dfac623a6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7a5534eae872c5ae,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1216446c6ad271e7,cannot access local variable 'winner' where it is not associated with a value
